oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686103400034440,277628311,2460530.7870550873,60530.283113400001,17.8010292,0.0302282609,0,zg,298.00254100000001,29.8714744,1.81799996,0.100000001,20240808283090,686,0x3,0x4,21.1100006,26.4634075,0.020600751,-0.128880501,8.07287142e-06,30,1.00199997,1
686103400034440,278930980,2460543.8135470124,60543.309803199998,17.7488747,0.0296875332,0,zg,298.00253270000002,29.871458700000002,0.927999973,0.0340000018,20240821309803,686,0x3,0x4,20.4099998,26.4489231,0.0211658403,-0.0859560221,8.2710776e-06,30,1.07799995,1
686103400034440,279528869,2460549.7922867495,60549.288692100003,17.7703018,0.0299068112,0,zg,298.00253420000001,29.871464700000001,2.0480001,0.0529999994,20240827288692,686,0x3,0x4,21.1100006,26.4955978,0.0183073487,-0.118389599,6.30463046e-06,30,1.06700003,1
686103400034440,279728196,2460551.7855046391,60551.2819676,17.6997795,0.0291998256,0,zg,298.00253679999997,29.871466600000002,1.59500003,0.0939999968,20240829281968,686,0x3,0x4,21.3700008,26.4786892,0.0178168863,-0.0837895572,6.00076692e-06,30,1.06500006,1
686103400034440,279921561,2460553.7190908808,60553.215613400003,17.7706738,0.0299106538,0,zg,298.00253329999998,29.871463800000001,1.17400002,0.0949999988,20240831215602,686,0x3,0x4,21.0699997,26.4829025,0.0181339998,-0.106225714,6.36681625e-06,30,1.00100005,1
686103400034440,280125431,2460555.7577278959,60555.2543171,17.7553825,0.0297537185,0,zg,298.00255570000002,29.871436800000001,1.70299995,-0.00499999989,20240902254132,686,0x3,0x4,21.2700005,26.479475,0.0183032565,-0.109727517,6.35475863e-06,30,1.03600001,1
686103400034440,280326473,2460557.7680750168,60557.264733800002,17.6991043,0.0291932616,0,zg,298.00251900000001,29.871459300000001,1.07000005,0.0299999993,20240904264734,686,0x3,0x4,21.3400002,26.4219284,0.0179560557,-0.0833529532,6.09785366e-06,30,1.06299996,1
686103400034440,280527972,2460559.7829899588,60559.279722200001,17.7107391,0.0293069538,0,zg,298.00252410000002,29.8714604,0.465999991,0.0309999995,20240906279711,686,0x3,0x4,21.1399994,26.3625813,0.0170035474,-0.0735886917,5.36149219e-06,30,1.11199999,1
686103400034440,280725864,2460561.7618378932,60561.258645800001,17.6988029,0.0291903317,0,zg,298.00253550000002,29.871459099999999,0.805999994,0.0689999983,20240908258634,686,0x3,0x4,21.0100002,26.2586403,0.0185395796,-0.0921060592,6.59623493e-06,30,1.07299995,1
686103400034440,280929835,2460563.8014669847,60563.298356500003,17.52771,0.0276415497,32768,zg,298.00250740000001,29.871476099999999,0.777999997,-0.00300000003,20240910298333,686,0x3,0x4,19.0499992,24.1518612,0.0461740233,-0.0175636895,4.02925871e-05,30,1.21599996,1
686103400034440,281225339,2460566.7563772881,60566.2533912,17.7362823,0.0295605101,32768,zg,298.00253720000001,29.871459399999999,1.33299994,0.0850000009,20240913253356,686,0x3,0x4,20,26.0774784,0.0228021368,-0.0855609179,9.88803731e-06,30,1.09300005,1
686103400034440,281425762,2460568.7605249374,60568.257627300001,17.7061825,0.0292622987,0,zg,298.00253170000002,29.871458100000002,0.777999997,0.050999999,20240915257616,686,0x3,0x4,20.3899994,26.4571476,0.0178961642,-0.0891262665,6.00715157e-06,30,1.11899996,1
686103400034440,281725837,2460571.7611389365,60571.258379600004,17.8284969,0.0305227432,0,zg,298.00253800000002,29.871472700000002,1.23199999,-0.0120000001,20240918258368,686,0x3,0x4,19.8500004,26.4841232,0.026335638,-0.124423526,1.28625452e-05,30,1.14699996,1
686103400034440,282527706,2460579.7794177262,60579.277060200002,17.6990166,0.0291924067,0,zg,298.00250260000001,29.871462000000001,1.00899994,-0.0109999999,20240926277049,686,0x3,0x4,20.6499996,26.4079819,0.0215171799,-0.100869969,8.84596648e-06,30,1.33000004,1
686103400034440,283718185,2460591.6835390474,60591.181851900001,17.7434273,0.0296324231,0,zg,298.00253179999999,29.871461,1.55200005,0.0549999997,20241008181840,686,0x3,0x4,21.1100006,26.4264984,0.0186765771,-0.106567226,6.77540856e-06,30,1.08500004,1
686103400034440,283912486,2460593.6264320519,60593.124861099997,17.7682838,0.0298859887,0,zg,298.00252840000002,29.871478100000001,2.03200006,0.115999997,20241010124861,686,0x3,0x4,20.9400005,26.4826374,0.0178151205,-0.11104238,6.04085608e-06,30,1.00800002,1
686103400034440,284112516,2460595.6266116961,60595.125161999997,17.7164001,0.0293626823,0,zg,298.00257290000002,29.8714409,0.824000001,0.00899999961,20241012125104,686,0x3,0x4,19.9500008,26.3434601,0.0245821644,-0.106994964,1.17567879e-05,30,1.01300001,1
686103400034440,284317402,2460597.6753517161,60597.1740278,17.8259659,0.0304953232,32768,zg,298.00249760000003,29.871503000000001,1.00300002,0.0329999998,20241014174028,686,0x3,0x4,20.4599991,26.5716267,0.0227715801,-0.151778564,9.84155213e-06,30,1.10699999,1
686103400034440,284825540,2460602.7564112581,60602.255405099997,17.6625919,0.028843632,0,zg,298.00238769999999,29.871556900000002,0.735000014,0.354000002,20241019255405,686,0x3,0x4,18.8299999,26.2804451,0.0462958515,-0.0836767256,4.41098164e-05,30,1.66400003,1
686103400034440,285013473,2460604.6356208124,60604.134733799998,17.7355881,0.0295535494,0,zg,298.00252790000002,29.871464400000001,0.949000001,0.0219999999,20241021134722,686,0x3,0x4,21.2199993,26.5019131,0.0178788267,-0.0990275815,6.03463195e-06,30,1.05999994,1
686103400034440,285218076,2460606.6815201892,60606.180763900004,17.7165928,0.0293645784,0,zg,298.00251730000002,29.871447400000001,1.18900001,0.050999999,20241023180729,686,0x3,0x4,20.9200001,26.4497375,0.0214654859,-0.0928196236,8.81994583e-06,30,1.21500003,1
686103400034440,285611380,2460610.614311025,60610.113807900001,17.7312431,0.0295100547,0,zg,298.00254189999998,29.8714659,1.26800001,0.0390000008,20241027113808,686,0x3,0x4,21.3099995,26.4562683,0.0177366324,-0.0889446139,6.13550537e-06,30,1.051,1
686103400034440,286024407,2460614.7443095078,60614.244074100003,17.7557201,0.0297571626,0,zg,298.0025157,29.871455099999999,1.24899995,0.0240000002,20241031244062,686,0x3,0x4,20.0499992,26.262085,0.0253867768,-0.0898281783,1.21607764e-05,30,1.94500005,1
686103400034440,286412018,2460618.6201692321,60618.120185200001,17.7627926,0.029829517,0,zg,298.00252390000003,29.871464400000001,1.10000002,-0.0179999992,20241104120185,686,0x3,0x4,20.7000008,26.4563217,0.0197937544,-0.113462642,7.56426562e-06,30,1.11600006,1
686103400034440,286617378,2460620.6736357436,60620.173784699997,17.8180389,0.0304098241,0,zg,298.00254130000002,29.8714507,1.26400006,0.0659999996,20241106173750,686,0x3,0x4,20.1499996,26.1626987,0.0243297406,-0.135641336,1.1391011e-05,30,1.38399994,1
686103400034440,287109754,2460625.597080729,60625.0975463,17.7886581,0.0300978348,0,zg,298.00252899999998,29.871465199999999,1.45099998,0.0989999995,20241111097535,686,0x3,0x4,20.6100006,26.479229,0.0200778022,-0.120110266,7.5639341e-06,30,1.10599995,1
686103400034440,287315930,2460627.6587086767,60627.159305599998,17.7486267,0.0296850186,0,zg,298.00240760000003,29.871416799999999,0.815999985,0.0970000029,20241113159306,686,0x3,0x4,18.9300003,26.3609581,0.0466248766,-0.0818170756,4.47580678e-05,30,1.41600001,1
686103400034440,287517400,2460629.6732803495,60629.174004599998,17.7948608,0.0301630534,0,zg,298.002454,29.8715096,0.697000027,0.0140000004,20241115174005,686,0x3,0x4,19.3600006,26.391367,0.0324911475,-0.136614367,2.04541884e-05,30,1.58399999,1
686103400034440,287812533,2460632.62442694,60632.125335600002,17.8362541,0.0306071658,0,zg,298.00253409999999,29.8714792,0.662,0.0350000001,20241118125301,686,0x3,0x4,20.1800003,26.3531284,0.0435407422,-0.142025396,3.6200574e-05,30,1.28999996,1
686103400034440,288017442,2460634.6733861733,60634.174421299998,17.7089577,0.0292894822,0,zg,298.00250010000002,29.871478199999999,0.388000011,0.0140000004,20241120174352,686,0x3,0x4,19.9899998,26.1031437,0.0231373832,-0.0920845121,1.01180403e-05,30,1.73699999,1
686103400034440,288209456,2460636.5934080756,60636.094560199999,17.7763939,0.0299698766,0,zg,298.00257950000002,29.871437799999999,1.46500003,0.0780000016,20241122094549,686,0x3,0x4,20.7000008,26.4318123,0.0206234436,-0.128672361,8.09524499e-06,30,1.19700003,1
686103400034440,288514250,2460639.6411650921,60639.142500000002,17.9055405,0.0313861147,32768,zg,298.00249359999998,29.871468199999999,1.15600002,-0.0399999991,20241125142465,686,0x3,0x4,19.1900005,25.64184,0.0547164679,-0.112416431,5.48241587e-05,30,1.54499996,1
686103400034440,289311728,2460647.6154887071,60647.117280099999,17.7829037,0.0300376341,0,zg,298.00250829999999,29.871469000000001,1.89100003,0.0989999995,20241203117280,686,0x3,0x4,20.3299999,26.2004051,0.0404582471,-0.112841152,3.07395239e-05,30,1.51499999,1
686103400034440,289710171,2460651.5997074982,60651.101712999996,17.6690636,0.0289048199,0,zg,298.00249209999998,29.871456200000001,0.814999998,0,20241207101713,686,0x3,0x4,20.4599991,26.3570957,0.0188293476,-0.0774900466,6.56052725e-06,30,1.47599995,1
686103400034440,289913501,2460653.6329008904,60653.135011600003,17.6457901,0.0286863316,32768,zg,298.00252110000002,29.871469000000001,0.42899999,-0.0270000007,20241209135000,686,0x3,0x4,19.6100006,26.0576515,0.0312479995,-0.0541019998,1.87870955e-05,30,1.90499997,1
686103400034440,290111638,2460655.6141785495,60655.116388900002,17.7600899,0.0298018064,0,zg,298.0025,29.871480900000002,0.626999974,0.0989999995,20241211116389,686,0x3,0x4,18.9099998,26.2685223,0.0462573394,-0.0815344229,4.22544799e-05,30,1.72899997,1
686103400034440,290414310,2460658.6407449269,60658.143101900001,17.7311211,0.0295088422,0,zg,298.00244400000003,29.871396099999998,0.639999986,0.00400000019,20241214143102,686,0x3,0x4,18.8299999,26.2074471,0.0430182852,-0.0903549045,3.70453563e-05,30,2.30900002,1
686103400034440,290611009,2460660.6076442297,60660.1100926,17.7988892,0.0302056056,0,zg,298.00252119999999,29.871472099999998,0.708999991,0.0599999987,20241216110081,686,0x3,0x4,19.4699993,26.2765217,0.0276102033,-0.0797075033,1.43311536e-05,30,1.82299995,1
686103400034440,298554528,2460740.0424570441,60739.545289399997,17.8506184,0.0307649281,32768,zg,298.0025627,29.8714625,0.699999988,0.0340000018,20250305545289,686,0x3,0x4,19.8999996,26.0653687,0.0248504225,-0.133479148,1.16988822e-05,30,1.42999995,1
686103400034440,299651671,2460751.0143424002,60750.516712999997,17.7141762,0.0293407552,0,zg,298.0025584,29.871487299999998,0.83099997,-0.0209999997,20250316516701,686,0x3,0x4,19.4500008,26.3604832,0.0294190273,-0.0855478421,1.61303906e-05,30,1.41900003,1
686103400034440,300346540,2460757.9633755004,60757.465405100003,17.780489,0.030012453,0,zg,298.00255129999999,29.871477800000001,1.26499999,0.0399999991,20250323465394,686,0x3,0x4,20.7299995,26.3328781,0.0203497056,-0.107012518,7.91805451e-06,30,1.71800005,1
686103400034440,300551437,2460760.0124523467,60759.514374999999,17.8251801,0.0304868259,0,zg,298.00254790000002,29.871484899999999,1.09800005,0.0219999999,20250325514375,686,0x3,0x4,20.6900005,26.4796371,0.0232132915,-0.138697624,1.03056327e-05,30,1.28199995,1
686103400034440,301050370,2460765.0020521339,60764.5037037,17.747551,0.0296741221,0,zg,298.00255959999998,29.871466900000001,0.890999973,-0.0140000004,20250330503681,686,0x3,0x4,20.3700008,26.1949196,0.0257812403,-0.13131991,1.31037759e-05,30,1.26699996,1
686103400034440,301847157,2460772.970382561,60772.471574100004,17.7942734,0.0301568732,32769,zg,298.00255140000002,29.871452099999999,0.825999975,0.0719999969,20250407471574,686,0x3,0x4,19.8400002,25.6758556,0.0435150191,-0.0900653154,4.30444015e-05,30,1.32299995,1
686103400034440,302044497,2460774.9439035286,60774.444976899998,17.8344498,0.0305874757,32768,zg,298.00258980000001,29.871455099999999,0.963,0.0320000015,20250409444965,686,0x3,0x4,20.0200005,26.4172134,0.0267732926,-0.154078349,1.36644148e-05,30,1.46599996,1
